case_id,category,ai_root_cause,ai_confidence,expected_fault,reviewer_decision,corrected_root_cause,reviewer_notes,reviewer,timestamp
C001,VLAN,Fa0/4 is assigned to VLAN 20 (Guest) instead of VLAN 10 (Sales).,high,Fa0/4 was assigned to VLAN 20 instead of VLAN 10 (wrong access VLAN on port).,Accepted,Fa0/4 is assigned to VLAN 20 (Guest) instead of VLAN 10 (Sales).,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C002,VLAN,Trunk link between SW1 and SW2 does not allow VLAN 10 traffic,high,VLAN 10 is pruned from the trunk's allowed VLAN list (switchport trunk allowed vlan excludes 10).,Accepted,Trunk link between SW1 and SW2 does not allow VLAN 10 traffic,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C003,VLAN,Access port Fa0/8 lacks the 'switchport access vlan 30' command to assign it to VLAN 30 (Engineering).,high,Port left in default VLAN 1 instead of VLAN 30; no DHCP scope exists for VLAN 1 on this network.,Accepted,Access port Fa0/8 lacks the 'switchport access vlan 30' command to assign it to VLAN 30 (Engineering).,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C004,Gateway,PC4 has an incorrect default gateway configured (192.168.20.1) that does not match its VLAN 10 subnet (192.168.10.0/24).,medium,DHCP pool default-router is set to the wrong subnet's gateway (192.168.20.1 instead of 192.168.10.1).,Edited,DHCP pool's 'default-router' statement for VLAN 10 points to the wrong subnet's gateway (192.168.20.1 instead of 192.168.10.1).,"AI correctly spotted the gateway/subnet mismatch from the PC's ipconfig output, but it wasn't given the DHCP pool config and defaulted to 'fix it on the PC.' Since this PC gets its address via DHCP, the real fix is on the DHCP pool's default-router line, not a manual static change on the client. Corrected the root cause to point at the server-side config; kept AI's evidence read as accurate.",Abhey,
C005,Gateway,"Sub-interface Gi0/1.10 is administratively disabled, preventing traffic to the gateway.",high,Router sub-interface is administratively shut down.,Accepted,"Sub-interface Gi0/1.10 is administratively disabled, preventing traffic to the gateway.",AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C006,DHCP,Missing ip helper-address configuration on VLAN 40 interface preventing DHCP request forwarding,high,"Missing 'ip helper-address' on the VLAN 40 SVI, so DHCP discover broadcasts never reach the DHCP server.",Accepted,Missing ip helper-address configuration on VLAN 40 interface preventing DHCP request forwarding,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C007,DHCP,DHCP pool VLAN10_POOL has no available addresses due to full exclusion range,high,"Almost the entire pool range is excluded via 'ip dhcp excluded-address', leaving no usable leases (pool exhaustion by misconfiguration).",Accepted,DHCP pool VLAN10_POOL has no available addresses due to full exclusion range,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C008,DHCP,"DHCP pool in VLAN 10 is assigning IP 192.168.10.50 to PC10, conflicting with PC9's static IP.",high,"Statically assigned address (192.168.10.50) falls inside the active DHCP pool range and was also leased out, causing a duplicate IP.",Accepted,"DHCP pool in VLAN 10 is assigning IP 192.168.10.50 to PC10, conflicting with PC9's static IP.",AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C009,DNS,DNS server (192.168.99.99) does not have an A record for 'server.netsage.local'.,medium,PC's DNS server address (192.168.99.99) does not match the actual DNS server (192.168.50.5); wrong DNS server configured via DHCP option.,Rejected,"PC's configured DNS server address (192.168.99.99) does not match the network's real DNS server (192.168.50.5) -- the PC is asking the wrong device, which is why lookups fail while ping-by-IP still works.","AI incorrectly assumed the DNS server it saw referenced (192.168.99.99) was correct and hypothesized a missing record on it. That address is not the documented DNS server for this network at all -- the AI never questioned whether the PC was even pointed at the right server. Its proposed fix (add a record on 192.168.99.99) would not resolve the problem and risks configuring the wrong box. Rejected rather than edited because the fix direction was wrong, not just incomplete.",Abhey,
C010,DNS,"Physical line status is down on GigabitEthernet0/0 of DNS-Server, preventing DNS traffic.",high,"DNS server's interface line protocol is down (up/down mismatch — Layer 2 issue, likely bad cable/duplex) so the service is unreachable despite the IP being configured.",Accepted,"Physical line status is down on GigabitEthernet0/0 of DNS-Server, preventing DNS traffic.",AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C011,Routing,Missing static route for VLAN 30 subnet on R1,high,Missing static route (or routing protocol advertisement) for 192.168.30.0/24 toward R2.,Accepted,Missing static route for VLAN 30 subnet on R1,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C012,Routing,OSPF adjacency is stuck in EXSTART/DR state due to potential timer mismatches or DBD packet exchange issues,medium,OSPF neighbor stuck in EXSTART — usually an MTU mismatch between R1 and R2's serial interfaces preventing DBD exchange.,Edited,"OSPF neighbor stuck in EXSTART/DR is the classic signature of an MTU mismatch between R1 and R2's serial interfaces blocking the DBD exchange, not a timer or authentication issue.","AI's evidence read (EXSTART/DR, 00:00:31 dead timer) was accurate, but it offered a generic list of possible causes (timers, network type, authentication) instead of naming the specific, well-known cause for this exact symptom pattern. Its 'next_command' (show ip ospf interface) would have surfaced the MTU values and let a human confirm this, so the diagnosis was salvageable but too vague to accept as-is.",Abhey,
C013,Routing,Missing route to ISP's WAN network (203.0.113.0/24) preventing default route validation,medium,Next-hop 203.0.113.1 is not directly reachable — WAN interface IP/subnet mismatch with the ISP router's interface.,Edited,"The next-hop 203.0.113.1 is not directly reachable because of an IP addressing mismatch on the WAN interface facing the ISP router, not a missing route.","AI's own evidence (ping to the next-hop times out) is the right observation, but it then diagnosed a 'missing route to the ISP network' -- a static default route to an unreachable next-hop is an addressing/reachability problem on the WAN link, not something a second route would fix. Corrected the root cause to point at the interface addressing rather than routing table entries.",Abhey,
C014,Routing,OSPF is not advertising VLAN 40 subnet because the network statement for 192.168.40.0/24 is missing from R1's OSPF configuration.,high,"VLAN 40's subnet is not included in any OSPF network statement, so it is never advertised.",Accepted,OSPF is not advertising VLAN 40 subnet because the network statement for 192.168.40.0/24 is missing from R1's OSPF configuration.,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C015,ACL,Inbound ACL on VLAN 10 sub-interface is explicitly denying traffic to VLAN 30.,high,"ACL 'BLOCK_SALES' explicitly denies VLAN 10 to VLAN 30 traffic, applied inbound on Gi0/0/0.10.",Accepted,Inbound ACL on VLAN 10 sub-interface is explicitly denying traffic to VLAN 30.,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C016,ACL,ACL MGMT_ACL permits 192.168.99.50 instead of the actual admin PC IP 192.168.99.5,high,"access-class ACL only permits host 192.168.99.50, but the admin PC's real address is 192.168.99.5 — typo/wrong host in ACL.",Accepted,ACL MGMT_ACL permits 192.168.99.50 instead of the actual admin PC IP 192.168.99.5,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C017,ACL,The ACL 'GUEST_ISOLATION' permits all traffic (any any) instead of restricting access to internal VLANs 10/20/30.,high,"ACL order error: the 'permit ip any any' statement is listed before the deny rules for internal subnets, so it matches first and the isolation never applies.",Edited,"The ACL's deny rules for internal subnets exist but are ordered AFTER the 'permit ip any any' line, so they never match -- this is a rule-ordering bug, not a missing-rule bug.","AI's root_cause said the deny statements were 'missing/deferred' and its fix was to add new deny rules before the permit -- functionally this happens to fix the symptom, but it mischaracterizes the bug (the rules already exist) and could leave a confusing, partially-duplicated ACL if applied literally. Corrected the wording so the actual fix is 'reorder existing rules', not 'author new ones'.",Abhey,
C018,NAT,Missing 'ip nat inside' configuration on internal interfaces preventing NAT translation.,high,"'ip nat inside' is missing on the internal-facing interface, so NAT never triggers even though the outside/overload config is correct.",Accepted,Missing 'ip nat inside' configuration on internal interfaces preventing NAT translation.,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C019,NAT,"NAT ACL (access-list 1) only permits a subset of 16 IP addresses (192.168.10.0/28), excluding other hosts in the VLAN.",high,"NAT ACL wildcard mask (0.0.0.15) only covers 192.168.10.0-15, excluding the rest of the /24 subnet's hosts from translation.",Accepted,"NAT ACL (access-list 1) only permits a subset of 16 IP addresses (192.168.10.0/28), excluding other hosts in the VLAN.",AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C020,NAT,"Static NAT rule maps inside local port 8080 to outside global port 80, but the web server is actually listening on TCP 80.",high,Static NAT maps inside local port 8080 instead of 80 — port number mismatch between NAT rule and the server's actual listening port.,Accepted,"Static NAT rule maps inside local port 8080 to outside global port 80, but the web server is actually listening on TCP 80.",AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C021,Wireless,AP1's uplink port Fa0/12 is configured as access VLAN 99 (unused) instead of VLAN 10,high,"AP uplink switchport is in VLAN 99 instead of VLAN 10, so wireless traffic lands in a VLAN with no gateway/DHCP for it.",Accepted,AP1's uplink port Fa0/12 is configured as access VLAN 99 (unused) instead of VLAN 10,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C022,Wireless,WPA2-PSK passphrase is blank/mismatched between AP configuration and client devices.,high,Passphrase configured on the AP does not match what end users were issued — pre-shared key mismatch.,Accepted,WPA2-PSK passphrase is blank/mismatched between AP configuration and client devices.,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C023,Wireless,AP1 and AP2 are using the same channel (6) causing co-channel interference and poor roaming.,high,Co-channel interference — both APs on the same channel at full power causes contention/roaming issues rather than a config fault.,Accepted,AP1 and AP2 are using the same channel (6) causing co-channel interference and poor roaming.,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C024,VLAN,"Gi0/1 on SW3 is configured as an access port instead of a trunk port for VLANs 10, 20, 30.",high,Uplink port on SW3 was left as an access port instead of being configured as a trunk (switchport mode trunk).,Accepted,"Gi0/1 on SW3 is configured as an access port instead of a trunk port for VLANs 10, 20, 30.",AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C025,Gateway,HSRP virtual IP mismatch between R1 and R2 for VLAN 20,high,"HSRP standby router (R2) is stuck in Init state (likely mismatched HSRP group/authentication), so failover/backup path for VLAN 20 is not functioning, and the only forwarding path has an upstream routing gap.",Edited,"R2's HSRP standby is stuck in Init state (config-level HSRP problem, e.g. group number or authentication mismatch) rather than a virtual-IP mismatch.","AI read the two 'show standby brief' outputs and noticed R1 and R2 display different virtual IPs -- which is a legitimate observation and actually exposed an inconsistency in how this case's evidence was written up (two HSRP peers in the same group should always show the same virtual IP). Since the case's intended lesson is 'a peer stuck in Init blocks failover,' the corrected answer keeps that framing but this case's evidence data itself needs to be fixed before reuse -- flagging that separately, not blaming the model.",Abhey,
C026,DHCP,DHCP pool incorrectly configured with /25 subnet mask (255.255.255.128) instead of required /24 mask (255.255.255.0).,high,"DHCP pool network statement uses the wrong mask (/25 instead of /24), splitting the pool and gateway into different logical subnets from the client's perspective.",Accepted,DHCP pool incorrectly configured with /25 subnet mask (255.255.255.128) instead of required /24 mask (255.255.255.0).,AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
C027,Routing,EIGRP autonomous system (AS) number mismatch between R3 (AS 100) and R4 (AS 200),high,Mismatched EIGRP autonomous system numbers (100 vs 200) between the two routers prevent neighbor formation.,Accepted,EIGRP autonomous system (AS) number mismatch between R3 (AS 100) and R4 (AS 200),AI diagnosis matched the documented root cause and cited relevant evidence; approved as-is.,Abhey,
