case_id,category,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C001,VLAN,"PC1 in VLAN 10 cannot ping PC2 also in VLAN 10, but both get correct IPs from DHCP.",PC1 and PC2 connect to SW1 access ports Fa0/2 and Fa0/4. Both should be in VLAN 10.,"SW1# show vlan brief
VLAN Name    Status  Ports
10  Sales    active  Fa0/2
20  Guest    active  Fa0/4",Fa0/4 was assigned to VLAN 20 instead of VLAN 10 (wrong access VLAN on port).,Layer 2,VLAN misconfiguration,Medium
C002,VLAN,"Two PCs in different rooms, same VLAN, can't reach each other across two switches.","SW1---trunk---SW2. PC1 on SW1 Fa0/2 (VLAN 10), PC2 on SW2 Fa0/6 (VLAN 10).","SW1# show interfaces trunk
Port  Mode  Encapsulation  Status  Native vlan
Gi0/1 on    802.1q    trunking  1
SW1# show interfaces trunk (allowed vlans)
Gi0/1  1-9,11-4094",VLAN 10 is pruned from the trunk's allowed VLAN list (switchport trunk allowed vlan excludes 10).,Layer 2,Trunk allowed-VLAN misconfiguration,High
C003,VLAN,New PC plugged into an access port gets no DHCP address and cannot ping the gateway.,"PC3 connects to SW1 Fa0/8, intended for VLAN 30 (Engineering).","SW1# show running-config interface fa0/8
interface FastEthernet0/8
 switchport mode access
 (no switchport access vlan command present)",Port left in default VLAN 1 instead of VLAN 30; no DHCP scope exists for VLAN 1 on this network.,Layer 2,Missing VLAN assignment,Medium
C004,Gateway,"PC gets a valid IP via DHCP but cannot ping anything outside its own subnet, including the router.","PC4 (VLAN 10, 192.168.10.0/24) with SVI Gi0/0/0.10 as gateway on R1.","PC4> ipconfig
IP: 192.168.10.55  Mask: 255.255.255.0  Gateway: 192.168.20.1",DHCP pool default-router is set to the wrong subnet's gateway (192.168.20.1 instead of 192.168.10.1).,Layer 3,Default gateway / DHCP scope mismatch,High
C005,Gateway,"PC has correct IP and correct gateway address configured, but ping to gateway times out.","PC5 statically configured 192.168.30.10/24, gateway 192.168.30.1 on R1 sub-interface Gi0/1.10.","R1# show ip interface brief
GigabitEthernet0/1.10  192.168.30.1  YES manual administratively down  down",Router sub-interface is administratively shut down.,Layer 1/2,Interface down (shutdown),High
C006,DHCP,Multiple PCs in VLAN 40 fail to get an IP address; DHCP requests time out.,"PC6, PC7 in VLAN 40 (192.168.40.0/24); DHCP server is R1 using ip helper-address.","SW2# show run interface vlan 40
interface Vlan40
 ip address 192.168.40.1 255.255.255.0
 (no ip helper-address configured)","Missing 'ip helper-address' on the VLAN 40 SVI, so DHCP discover broadcasts never reach the DHCP server.",Layer 3,DHCP relay misconfiguration,High
C007,DHCP,"PC receives an IP from the wrong subnet (169.254.x.x, APIPA) after a long delay.","PC8 in VLAN 10, DHCP pool 'VLAN10_POOL' configured on R1.","R1# show ip dhcp pool
Pool VLAN10_POOL:
 Network: 192.168.10.0 /24
 Leased addresses: 254
 Excluded addresses: 192.168.10.1 - 192.168.10.254","Almost the entire pool range is excluded via 'ip dhcp excluded-address', leaving no usable leases (pool exhaustion by misconfiguration).",Layer 3,DHCP pool exhaustion / excluded-address error,Medium
C008,DHCP,Two PCs on the same VLAN intermittently lose connectivity and show 'IP address conflict' warnings.,"PC9 static 192.168.10.50, PC10 DHCP-assigned in the same VLAN 10 pool.","R1# show ip dhcp conflict
IP address       Detection method   Detection time
192.168.10.50    Ping               *05:14:22.101","Statically assigned address (192.168.10.50) falls inside the active DHCP pool range and was also leased out, causing a duplicate IP.",Layer 3,Duplicate IP address,Medium
C009,DNS,PC can ping the file server by IP address but 'ping server.netsage.local' fails to resolve.,PC11 (VLAN 10) needs to reach FileServer1 (192.168.50.10) by hostname.,"PC11> ipconfig /all
DNS Servers: 192.168.99.99
PC11> ping 192.168.50.10  -> Reply from 192.168.50.10
PC11> ping server.netsage.local -> Ping request could not find host",PC's DNS server address (192.168.99.99) does not match the actual DNS server (192.168.50.5); wrong DNS server configured via DHCP option.,Layer 7,DNS server misconfiguration,Low
C010,DNS,"All PCs in the branch office cannot resolve any internal hostnames, but internet IP connectivity works.","Branch DNS server is a Windows Server VM at 192.168.60.5, forwarded via HQ router.","DNS-Server# show ip interface brief
GigabitEthernet0/0  192.168.60.5  YES manual up   down","DNS server's interface line protocol is down (up/down mismatch — Layer 2 issue, likely bad cable/duplex) so the service is unreachable despite the IP being configured.",Layer 1/2,Interface line-protocol down,High
C011,Routing,"PC in VLAN 10 (192.168.10.0/24) can reach PC in VLAN 20, but not a server in VLAN 30.","R1 has sub-interfaces for VLAN 10, 20, 30 (router-on-a-stick). Static routes used between R1 and R2 for VLAN 30's subnet, hosted behind R2.","R1# show ip route
192.168.10.0/24 is directly connected
192.168.20.0/24 is directly connected
(no route for 192.168.30.0/24)",Missing static route (or routing protocol advertisement) for 192.168.30.0/24 toward R2.,Layer 3,Missing route,High
C012,Routing,Branch site loses connectivity to HQ intermittently; routes flap in the routing table.,R1 (Branch) <-> R2 (HQ) running OSPF area 0 over a serial link.,"R1# show ip ospf neighbor
Neighbor ID   Pri  State          Dead Time  Address
10.0.0.2      1    EXSTART/DR    00:00:31   10.0.0.2",OSPF neighbor stuck in EXSTART — usually an MTU mismatch between R1 and R2's serial interfaces preventing DBD exchange.,Layer 3,OSPF adjacency / MTU mismatch,High
C013,Routing,Static default route was configured but PCs still cannot reach the internet simulation (ISP router).,R1 has 'ip route 0.0.0.0 0.0.0.0 203.0.113.1' pointing to ISP router's WAN interface.,"R1# show ip route
S*  0.0.0.0/0 [1/0] via 203.0.113.1
R1# ping 203.0.113.1
Request timed out.",Next-hop 203.0.113.1 is not directly reachable — WAN interface IP/subnet mismatch with the ISP router's interface.,Layer 3,Unreachable next-hop / IP addressing error,High
C014,Routing,OSPF routes for VLAN 40 are missing from R2's routing table even though R1 advertises them.,R1 and R2 run OSPF area 0; VLAN 40 is directly connected to R1.,"R1# show run | section router ospf
router ospf 1
 network 192.168.10.0 0.0.0.255 area 0
 network 192.168.20.0 0.0.0.255 area 0
(missing: network 192.168.40.0 0.0.0.255 area 0)","VLAN 40's subnet is not included in any OSPF network statement, so it is never advertised.",Layer 3,Missing OSPF network statement,Medium
C015,ACL,"PC in VLAN 10 gets an IP and can ping the gateway, but cannot reach the server in VLAN 30 (Layer 3 works for other VLANs).",R1 router-on-a-stick with an inbound ACL applied on the VLAN 10 sub-interface.,"R1# show access-lists
Extended IP access list BLOCK_SALES
 10 deny ip 192.168.10.0 0.0.0.255 192.168.30.0 0.0.0.255
 20 permit ip any any","ACL 'BLOCK_SALES' explicitly denies VLAN 10 to VLAN 30 traffic, applied inbound on Gi0/0/0.10.",Layer 3/4,ACL blocking legitimate traffic,Medium
C016,ACL,Telnet/SSH management access to R2 from the admin subnet suddenly stops working; ping still succeeds.,Admin PC 192.168.99.5 manages R2 via SSH (vty lines).,"R2# show run | section line vty
line vty 0 4
 access-class MGMT_ACL in
R2# show access-lists MGMT_ACL
10 permit tcp host 192.168.99.50 any eq 22","access-class ACL only permits host 192.168.99.50, but the admin PC's real address is 192.168.99.5 — typo/wrong host in ACL.",Layer 4,ACL host mismatch on management access,Medium
C017,ACL,"Guest Wi-Fi users can reach the internal file server, violating the intended isolation policy.","Guest VLAN 50 should only reach the internet simulation, not internal VLANs (10/20/30).","R1# show access-lists
Extended IP access list GUEST_ISOLATION
 10 permit ip any any
(deny statements for internal subnets are missing/placed after the permit)","ACL order error: the 'permit ip any any' statement is listed before the deny rules for internal subnets, so it matches first and the isolation never applies.",Layer 3,ACL statement ordering error (security),High
